Year,Female Adults,Male Adults,Children
2001,1606499,1462881,2650838
2002,1397665,1393289,2006160
2003,1649484,1886062,2668937
2004,1853007,1902464,3340355
2005,1543357,1658163,2507348
2006,1572049,1681066,2633921
2007,2512572,2644375,4687721
2008,2622991,2693206,4867638
2009,3325017,3631844,5608817
2010,3229429,3447339,6098292
2011,3290252,3454794,6215473
2012,3016959,3343988,6057060
2013,3673810,3622917,7926975
2014,4027282,4014695,8689436
2015,5097886,5185815,10898751
2016,5552531,5658801,12653104
2017,6349588,6413333,14186429
