Year,Female 0-4,Female 5-17,Female 18-59,Female 60+,Male 0-4,Male 5-17,Male 18-59,Male 60+
2001,364739,941020,1358009,248490,366112,978967,1257306,205575
2002,282618,697238,1188641,209024,289681,736623,1223876,169413
2003,360383,918210,1422870,226614,382963,1007381,1688465,197597
2004,446706,1187890,1634967,218040,458201,1247558,1709635,192829
2005,331894,889533,1368262,175095,346959,938962,1502961,155202
2006,328252,914572,1407539,164510,339628,1051469,1534894,146172
2007,611498,1672513,2272868,239704,624259,1779451,2409120,235255
2008,654618,1714627,2368833,254158,673803,1824590,2450127,243079
2009,693318,2050289,3011008,314009,709235,2155975,3310731,321113
2010,831015,2174826,2929042,300387,835776,2256675,3148010,299329
2011,846793,2213295,2980331,309921,852706,2302679,3143770,311024
2012,733658,2254248,2746746,270213,768090,2301064,3067280,276708
2013,1215487,2717759,3376632,297178,1247947,2745782,3341918,280999
2014,1240277,2986439,3693369,333913,1275936,3186784,3697453,317242
2015,1549634,3774009,4686071,411815,1575880,3999228,4785179,400636
2016,1818413,4276720,5067234,485297,1953266,4604705,5196560,462241
2017,2105909,4898516,5710675,655223,2150351,5030169,5847866,579898
